"Date","Site","Array","Trap","trap_type","Taxa","SppCode","Toeclip","Recap","SVL","VTL","weight","weight_flag","Sex","OrigTail","Comments","Dead","Hatchling"
2011-01-23,"GWA2","1","B4","pitfall","Lizard","UTST","A1C1","Y",59,71,6.5,NA,"M",10,NA,"N","N"
2011-01-25,"GWA1","1","C3","funnel","Lizard","UTST","A1C5","Y",59,99,7.5,NA,"M",NA,NA,"N","N"
2011-01-25,"GWA1","1","C4","pitfall","Lizard","UTST","A2C5","N",58,100,7,NA,"M",NA,"natural toe loss of C5","N","N"
2011-01-26,"GWA2","2","Bfence","hand captured","Lizard","UTST","A2B4","N",57,97,6.5,NA,"M",NA,NA,"N","N"
2011-01-28,"GWA1","2","A2","funnel","Lizard","UTST","A2B3","N",57,105,6.5,NA,"M",NA,NA,"N","N"
2011-02-08,"GWA2","1","Bfence","hand captured","Lizard","UTST","A2D3","N",52,89,4.5,NA,"M",NA,"D3 toe damage, used in toe clip","N","N"
2011-02-10,"GWA1","2","A2","funnel","Lizard","UTST","A1D3","Y",55,44,5.5,NA,"F",44,NA,"N","N"
2011-02-10,"GWA2","1","A3","funnel","Lizard","UTST","A1D5","Y",56,101,5.5,NA,"M",NA,NA,"N","N"
2011-03-02,"GWA1","2","A1","pitfall","Lizard","UTST","A2B1","Y",59,108,7,NA,"M",NA,NA,"N","N"
2011-03-04,"GWA1","2","A1","pitfall","Lizard","UTST","A2B1","Y",60,109,7.5,NA,"M",NA,NA,"N",NA
2011-03-10,"GWA1","1","A2","funnel","Lizard","UTST","A2C5","Y",58,103,6.75,NA,"M",NA,NA,"N",NA
2011-03-10,"GWA1","2","A3","funnel","Lizard","UTST","A2B1","Y",59,109,7,NA,"M",NA,NA,"N",NA
2011-03-11,"GWA1","1","B2","funnel","Lizard","UTST","A2B4","N",58,44,5,NA,"M",10,NA,"N",NA
2011-03-11,"GWA2","1","A4","pitfall","Lizard","UTST","A2B5","N",56,97,5,NA,"M",NA,NA,"N",NA
